id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,price_total_zl_cleaned,price_per_m2_zl_cleaned
3740742,https://adresowo.pl/o/mieszkanie-lodz-baluty-1-pokoj-38-m2-y4b4u8,6 dni temu,7.0,Łódź Bałuty,,Mieszkanie,1,38,True,289 000,7 605zł / m²,289000.0,7605.0
3640034,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-plocka-1-pokoj-r5o1p6,ponad miesiąc temu,11.0,Łódź Górna,ul. Płocka,Mieszkanie,1,29,True,247 000,8 424zł / m²,247000.0,8424.0
3637428,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-karla-dedeciusa-2-pokojowe-z6e1g4,ponad miesiąc temu,2.0,Łódź Widzew,ul. Karla Dedeciusa,Mieszkanie,2,37,True,310 000,8 438zł / m²,310000.0,8438.0
3740712,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-gen-jaroslawa-dabrowskiego-2-pokojowe-f8v1g9,6 dni temu,7.0,Łódź Widzew,ul. gen. Jarosława Dąbrowskiego,Mieszkanie,2,36,True,275 000,7 639zł / m²,275000.0,7639.0
3740684,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-ks-jerzego-popieluszki-2-pokojowe-m8i1j7,6 dni temu,1.0,Łódź Retkinia,ul. ks. Jerzego Popiełuszki,Mieszkanie,2,42,True,330 000,7 857zł / m²,330000.0,7857.0
3635662,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza-3-pokojowe-s0l2m5,ponad miesiąc temu,11.0,Łódź Śródmieście,ul. Prezydenta Gabriela Narutowicza,Mieszkanie,3,88,True,680 000,7 747zł / m²,680000.0,7747.0
3633560,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-podgorna-1-pokoj-v8p6p0,ponad miesiąc temu,9.0,Łódź Dąbrowa,ul. Podgórna,Mieszkanie,1,24,True,199 000,8 292zł / m²,199000.0,8292.0
3740606,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-adama-naruszewicza-3-pokojowe-w8u6n1,6 dni temu,9.0,Łódź Górna,ul. Adama Naruszewicza,Mieszkanie,3,56,True,560 000,10 000zł / m²,560000.0,10000.0
3740508,https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-37-m2-u3o2w1,6 dni temu,8.0,Łódź Górna,,Mieszkanie,2,37,True,265 000,7 162zł / m²,265000.0,7162.0
3633486,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-targowa-1-pokoj-b0h4l8,ponad miesiąc temu,9.0,Łódź Śródmieście,ul. Targowa,Mieszkanie,1,35,True,599 999,17 143zł / m²,599999.0,17143.0
3630902,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dowborczykow-2-pokojowe-s3t5o9,ponad miesiąc temu,8.0,Łódź Śródmieście,ul. Dowborczyków,Mieszkanie,2,55,True,293 000,5 331zł / m²,293000.0,5331.0
3740412,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-strykowska-2-pokojowe-f1x0j5,6 dni temu,6.0,Łódź Bałuty,ul. Strykowska,Mieszkanie,2,46,True,462 132,10 046zł / m²,462132.0,10046.0
3627830,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-sukiennicza-2-pokojowe-z0p3v1,ponad miesiąc temu,10.0,Łódź Bałuty,ul. Sukiennicza,Mieszkanie,2,38,True,275 000,7 180zł / m²,275000.0,7180.0
3627832,https://adresowo.pl/o/mieszkanie-lodz-julianow-ul-gen-karola-kniaziewicza-2-pokojowe-r1i0k6,ponad miesiąc temu,7.0,Łódź Julianów,ul. gen. Karola Kniaziewicza,Mieszkanie,2,47,True,300 000,6 445zł / m²,300000.0,6445.0
3620392,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-obornicka-2-pokojowe-n0d2l6,ponad miesiąc temu,12.0,Łódź Bałuty,ul. Obornicka,Mieszkanie,2,45,True,379 000,8 398zł / m²,379000.0,8398.0
3620190,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lagiewnicka-2-pokojowe-i5s0v5,ponad miesiąc temu,9.0,Łódź Bałuty,ul. Łagiewnicka,Mieszkanie,2,38,True,299 000,7 868zł / m²,299000.0,7868.0
3619242,https://adresowo.pl/o/mieszkanie-lodz-olechow-ul-mariana-cynarskiego-2-pokojowe-x4m6o9,ponad miesiąc temu,9.0,Łódź Olechów,ul. Mariana Cynarskiego,Mieszkanie,2,42,True,409 000,9 806zł / m²,409000.0,9806.0
3613256,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-traktorowa-2-pokojowe-g7l5w8,ponad miesiąc temu,9.0,Łódź Teofilów,ul. Traktorowa,Mieszkanie,2,45,True,387 000,8 581zł / m²,387000.0,8581.0
3607262,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-sprawiedliwa-2-pokojowe-x7l1w2,ponad miesiąc temu,8.0,Łódź Bałuty,ul. Sprawiedliwa,Mieszkanie,2,49,True,225 000,4 562zł / m²,225000.0,4562.0
3606518,https://adresowo.pl/o/mieszkanie-lodz-ul-rojna-2-pokojowe-v2o3t2,ponad miesiąc temu,9.0,Łódź,ul. Rojna,Mieszkanie,2,45,True,350 000,7 778zł / m²,350000.0,7778.0
3601844,https://adresowo.pl/o/mieszkanie-lodz-stare-polesie-ul-garnizonowa-3-pokojowe-w3l1s7,ponad miesiąc temu,12.0,Łódź Stare Polesie,ul. Garnizonowa,Mieszkanie,3,67,True,1 120 000,16 819zł / m²,1120000.0,16819.0
3576904,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-wysoka-3-pokojowe-d4c9p4,ponad miesiąc temu,12.0,Łódź Widzew,ul. Wysoka,Mieszkanie,3,47,True,299 000,6 354zł / m²,299000.0,6354.0
3739092,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-zbozowa-3-pokojowe-o2t9a2,ponad tydzień temu,19.0,Łódź Bałuty,ul. Zbożowa,Mieszkanie,3,52,True,500 000,9 615zł / m²,500000.0,9615.0
3738840,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-stanislawa-przybyszewskiego-3-pokojowe-t1w4z5,ponad tydzień temu,8.0,Łódź Górna,ul. Stanisława Przybyszewskiego,Mieszkanie,3,60,True,449 000,7 483zł / m²,449000.0,7483.0
3738826,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-targowa-3-pokojowe-k8v0z6,ponad tydzień temu,8.0,Łódź Śródmieście,ul. Targowa,Mieszkanie,3,63,True,439 000,6 947zł / m²,439000.0,6947.0
