Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Górna,ul. Lubelska,2,37,335000,9141,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-lubelska-2-pokojowe-c3u8o1,https://s2.adresowa.pl/oi/32/46/3986b2_aa2a_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-lubelska.jpg
Łódź Widzew,ul. Leopolda Tyrmanda,1,29,230000,8048,Bez pośredników,4 dni temu,15,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-leopolda-tyrmanda-1-pokoj-v4m8n4,https://s2.adresowa.pl/oi/7f/2d/39c78e_924e_cover-1-pokojowe-mieszkanie-lodz-widzew-ul-leopolda-tyrmanda.jpg
Łódź Dąbrowa,ul. Władysława Broniewskiego,2,37,284000,7676,Bez pośredników,4 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-wladyslawa-broniewskiego-2-pokojowe-z6v4k2,https://s2.adresowa.pl/oi/66/39/39c702_cb07_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-wladyslawa-broniewskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Śródmieście,ul. dr. Stefana Kopcińskiego,2,44,345000,7931,Bez pośredników,4 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dr-stefana-kopcinskiego-2-pokojowe-l8a4x6,https://s2.adresowa.pl/oi/52/59/39c6ce_319e_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-dr-stefana-kopcinskiego.jpg
Łódź,ul. Olsztyńska,2,46,321000,6978,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-ul-olsztynska-2-pokojowe-y8y1w9,https://s2.adresowa.pl/oi/72/6a/398542_38d9_cover-2-pokojowe-mieszkanie-lodz-ul-olsztynska.jpg
Łódź Śródmieście,ul. Piotrkowska,3,61,474000,7719,Oferta biura nieruchomości,ponad tydzień temu,18,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-w6l4f4,https://s2.adresowa.pl/oi/5d/2b/396afa_cea1_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Bałuty,ul. Lniana,2,45,310000,6889,Bez pośredników,4 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lniana-2-pokojowe-x1a2b2,https://s2.adresowa.pl/oi/12/62/39c526_70e1_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-lniana.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Bałuty,ul. Drukarska,2,46,300000,6522,Bez pośredników,5 dni temu,6,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-drukarska-2-pokojowe-r7s1g5,https://s2.adresowa.pl/oi/55/14/39c48a_84a6_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-drukarska.jpg
Łódź Polesie,ul. Stefana Żeromskiego,3,93,880000,9462,Bez pośredników,5 dni temu,16,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-stefana-zeromskiego-3-pokojowe-o8d8n1,https://s2.adresowa.pl/oi/68/33/39c480_4580_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-stefana-zeromskiego.jpg
Łódź Polesie,ul. dr. Adama Próchnika,3,78,449000,5785,Oferta biura nieruchomości,ponad tydzień temu,22,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-dr-adama-prochnika-3-pokojowe-x1i6i3,https://s2.adresowa.pl/oi/48/1f/395e90_beb3_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-dr-adama-prochnika.jpg
