Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Bałuty,al. Chryzantem,1,27,235000,8704,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-al-chryzantem-1-pokoj-f5z8l9,https://s2.adresowa.pl/oi/2f/23/36dac4_3467_cover-1-pokojowe-mieszkanie-lodz-baluty-al-chryzantem.jpg
Łódź Dąbrowa,ul. Gabrieli Zapolskiej,3,45,304000,6724,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-gabrieli-zapolskiej-3-pokojowe-o5w1g9,https://s2.adresowa.pl/oi/5c/29/36c82e_cc1d_cover-3-pokojowe-mieszkanie-lodz-dabrowa-ul-gabrieli-zapolskiej.jpg
Łódź Polesie,ul. prof. Bohdana Stefanowskiego,2,35,493500,14000,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-prof-bohdana-stefanowskiego-2-pokojowe-r8p3x6,https://s2.adresowa.pl/oi/51/36/36c6a0_8e24_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-prof-bohdana-stefanowskiego.jpg
Łódź Śródmieście,ul. Stefana Żeromskiego,4,80,365000,4563,Bez pośredników,ponad miesiąc temu,5,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-stefana-zeromskiego-4-pokojowe-m6k7g1,https://s2.adresowa.pl/oi/62/46/36c524_f92e_cover-4-pokojowe-mieszkanie-lodz-srodmiescie-ul-stefana-zeromskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Śródmieście,ul. Piotrkowska,2,45,349000,7756,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-2-pokojowe-u4p0s9,https://s2.adresowa.pl/oi/56/1e/36c2fc_c9c7_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Górna,ul. Poetycka,3,66,680000,10320,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-poetycka-3-pokojowe-l9w4f4,https://s2.adresowa.pl/oi/2e/15/36be66_a5dc_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-poetycka.jpg
Łódź Górna,ul. Tadeusza Czackiego,3,70,680000,9714,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-tadeusza-czackiego-3-pokojowe-y3s5s1,https://s2.adresowa.pl/oi/50/2f/36bd52_ae22_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-tadeusza-czackiego.jpg
Łódź Śródmieście,ul. Piotrkowska,3,65,430000,6615,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-w0r6q0,https://s2.adresowa.pl/oi/5d/2c/36bd4a_3d2e_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Górna,,3,48,449000,9354,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-3-pokojowe-48-m2-c8b1u4,https://s2.adresowa.pl/oi/35/22/36bc62_dd33_cover-3-pokojowe-mieszkanie-lodz-gorna.jpg
Łódź Bałuty,ul. Rojna,2,37,350000,9414,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-rojna-2-pokojowe-c7y3g1,https://s2.adresowa.pl/oi/31/72/36bab6_4f70_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-rojna.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Janów,ul. Andrzeja Kmicica,3,62,510000,8168,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-janow-ul-andrzeja-kmicica-3-pokojowe-w9e3g9,https://s2.adresowa.pl/oi/67/27/36b66a_e26c_cover-3-pokojowe-mieszkanie-lodz-janow-ul-andrzeja-kmicica.jpg
Łódź Bałuty,ul. gen. Karola Kniaziewicza,3,46,369000,8110,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-gen-karola-kniaziewicza-3-pokojowe-u6p8i7,https://s2.adresowa.pl/oi/1d/63/36b3a4_4901_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-gen-karola-kniaziewicza.jpg
Łódź Górna,ul. Lokatorska,2,43,330000,7641,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-lokatorska-2-pokojowe-y8d5q7,https://s2.adresowa.pl/oi/61/53/36aec8_9120_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-lokatorska.jpg
Łódź Śródmieście,ul. Henryka Sienkiewicza,2,51,618500,12127,Bez pośredników,ponad miesiąc temu,28,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza-2-pokojowe-l0a2s2,https://s2.adresowa.pl/oi/7d/19/36ac2e_d80e_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza.jpg
Łódź Janów,ul. Andrzeja Kmicica,4,74,799999,10811,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-lodz-janow-ul-andrzeja-kmicica-4-pokojowe-l6z7n6,https://s2.adresowa.pl/oi/31/3e/36a96a_d729_cover-4-pokojowe-mieszkanie-lodz-janow-ul-andrzeja-kmicica.jpg
Łódź Retkinia,ul. ks. Jerzego Popiełuszki,2,42,397000,9452,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-ks-jerzego-popieluszki-2-pokojowe-g3z7l5,https://s2.adresowa.pl/oi/49/26/36a5c6_c745_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-ks-jerzego-popieluszki.jpg
Łódź Julianów,ul. Julianowska,3,59,525000,8897,Bez pośredników,ponad miesiąc temu,22,https://adresowo.pl/o/mieszkanie-lodz-julianow-ul-julianowska-3-pokojowe-k6t9b8,https://s2.adresowa.pl/oi/3d/4f/36a4f0_4b55_cover-3-pokojowe-mieszkanie-lodz-julianow-ul-julianowska.jpg
Łódź Polesie,ul. Janusza Kusocińskiego,3,62,589000,9474,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-janusza-kusocinskiego-3-pokojowe-a1h9g7,https://s2.adresowa.pl/oi/75/70/36a224_58c3_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-janusza-kusocinskiego.jpg
Łódź Bałuty,ul. Bolesława Limanowskiego,3,55,479000,8763,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego-3-pokojowe-j5v4l7,https://s2.adresowa.pl/oi/52/2a/3697f4_44a7_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego.jpg
Łódź Górna,ul. Graniczna,3,120,1150000,9583,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-graniczna-3-pokojowe-w4y9u7,https://s2.adresowa.pl/oi/1d/2e/368fc2_f939_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-graniczna.jpg
Łódź Karolew,ul. Cypriana Kamila Norwida,3,55,425000,7775,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-karolew-ul-cypriana-kamila-norwida-3-pokojowe-i3c9q0,https://s2.adresowa.pl/oi/1e/33/36878c_c90f_cover-3-pokojowe-mieszkanie-lodz-karolew-ul-cypriana-kamila-norwida.jpg
Łódź Bałuty,,2,47,440000,9362,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-47-m2-u7r3w9,https://s2.adresowa.pl/oi/1c/6c/36847a_74aa_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Stare Polesie,ul. kpt. Stefana Pogonowskiego,3,81,669000,8259,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-stare-polesie-ul-kpt-stefana-pogonowskiego-3-pokojowe-s5l6e4,https://s2.adresowa.pl/oi/2c/1d/3677ea_549a_cover-3-pokojowe-mieszkanie-lodz-stare-polesie-ul-kpt-stefana-pogonowskiego.jpg
Łódź Bałuty,ul. Liściasta,2,43,399000,9296,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lisciasta-2-pokojowe-r2f8w1,https://s2.adresowa.pl/oi/52/77/367720_fe35_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-lisciasta.jpg
Łódź Polesie,ul. Złotno,2,54,665000,12315,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-zlotno-2-pokojowe-t9d3y6,https://s2.adresowa.pl/oi/21/4f/36735a_72e3_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-zlotno.jpg
Łódź Widzew,ul. Widzewska,2,62,580000,9355,Bez pośredników,ponad miesiąc temu,1,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-widzewska-2-pokojowe-o6b6j4,https://s2.adresowa.pl/oi/69/62/366d2e_3c44_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-widzewska.jpg
Łódź Śródmieście,ul. płk. dr. Stanisława Więckowskiego,1,27,350000,12963,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-plk-dr-stanislawa-wieckowskiego-1-pokoj-b9y3q1,https://s2.adresowa.pl/oi/46/61/366b64_aeb3_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-plk-dr-stanislawa-wieckowskiego.jpg
Łódź Śródmieście,ul. Wierzbowa,2,58,580000,9916,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-wierzbowa-2-pokojowe-l2a3g4,https://s2.adresowa.pl/oi/7f/4b/36683c_3ce4_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-wierzbowa.jpg
Łódź Bałuty,ul. Zmienna,2,50,395000,7900,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-zmienna-2-pokojowe-i4c1n8,https://s2.adresowa.pl/oi/10/73/3632e2_9856_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-zmienna.jpg
Łódź Śródmieście,ul. Piotrkowska,3,71,569000,8054,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-piotrkowska-3-pokojowe-i9x3t7,https://s2.adresowa.pl/oi/26/69/365eda_3e7a_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-piotrkowska.jpg
Łódź Retkinia,ul. Janusza Kusocińskiego,2,42,380000,8958,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-janusza-kusocinskiego-2-pokojowe-d5d0y9,https://s2.adresowa.pl/oi/3a/1e/365e72_7564_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-janusza-kusocinskiego.jpg
Łódź Polesie,,3,108,870000,8056,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-3-pokojowe-108-m2-i3s8f4,https://s2.adresowa.pl/oi/23/48/365b98_a09d_cover-3-pokojowe-mieszkanie-lodz-polesie.jpg
Łódź Dąbrowa,ul. Wyższa,2,40,312000,7800,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-wyzsza-2-pokojowe-q7t5l4,https://s2.adresowa.pl/oi/68/1c/36569c_cc1f_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-wyzsza.jpg
Łódź Widzew,ul. Mieczysławy Ćwiklińskiej,2,52,479000,9229,Bez pośredników,ponad miesiąc temu,26,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-mieczyslawy-cwiklinskiej-2-pokojowe-u9n6k7,https://s2.adresowa.pl/oi/7e/45/3655b2_8595_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-mieczyslawy-cwiklinskiej.jpg
Łódź Widzew,,3,48,439000,9146,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-3-pokojowe-48-m2-c2c9u8,https://s2.adresowa.pl/oi/3f/21/364368_457c_cover-3-pokojowe-mieszkanie-lodz-widzew.jpg
Łódź Górna,ul. Stefana Rogozińskiego,2,52,626040,12000,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-stefana-rogozinskiego-2-pokojowe-r6j4a1,https://s2.adresowa.pl/oi/72/15/363132_283c_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-stefana-rogozinskiego.jpg
Łódź Polesie,ul. Walerego Wróblewskiego,1,12,143000,11779,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-walerego-wroblewskiego-1-pokoj-a9c2l8,https://s2.adresowa.pl/oi/7b/2f/362a16_81e0_cover-1-pokojowe-mieszkanie-lodz-polesie-ul-walerego-wroblewskiego.jpg
Łódź Polesie,,2,43,369000,8581,Bez pośredników,ponad miesiąc temu,2,https://adresowo.pl/o/mieszkanie-lodz-polesie-2-pokojowe-43-m2-y6i8t0,https://s2.adresowa.pl/oi/32/3c/3629de_6a02_cover-2-pokojowe-mieszkanie-lodz-polesie.jpg
Łódź Śródmieście,ul. Boya-Żeleńskiego,1,23,229000,9957,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-boya-zelenskiego-1-pokoj-f2d2t9,https://s2.adresowa.pl/oi/6b/19/362932_ef17_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-boya-zelenskiego.jpg
Łódź Marysin,ul. mjr. Henryka Sucharskiego,2,42,285000,6786,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-marysin-ul-mjr-henryka-sucharskiego-2-pokojowe-h7v8d4,https://s2.adresowa.pl/oi/67/76/362656_ba39_cover-2-pokojowe-mieszkanie-lodz-marysin-ul-mjr-henryka-sucharskiego.jpg
Łódź Śródmieście,ul. Pomorska,2,49,499000,10217,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-pomorska-2-pokojowe-m8a5d7,https://s2.adresowa.pl/oi/25/22/361edc_fd6a_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-pomorska.jpg
Łódź Górna,ul. Grabowa,1,24,239900,9832,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-grabowa-1-pokoj-b3m8k4,https://s2.adresowa.pl/oi/4a/14/361e16_b973_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-grabowa.jpg
Łódź Teofilów,,2,38,315000,8360,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-teofilow-2-pokojowe-37-m2-g6i8k7,https://s2.adresowa.pl/oi/1c/7f/361bf6_b6e2_cover-2-pokojowe-mieszkanie-lodz-teofilow.jpg
Łódź Julianów,ul. gen. Józefa Bema,2,59,509000,8598,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-julianow-ul-gen-jozefa-bema-2-pokojowe-d4l6g3,https://s2.adresowa.pl/oi/3f/12/361804_4f74_cover-2-pokojowe-mieszkanie-lodz-julianow-ul-gen-jozefa-bema.jpg
Łódź Śródmieście,,4,151,299000,1980,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-4-pokojowe-151-m2-d8s0q2,https://s2.adresowa.pl/oi/48/25/3613f6_e058_cover-4-pokojowe-mieszkanie-lodz-srodmiescie.jpg
Łódź Śródmieście,ul. Dowborczyków,2,82,600000,7317,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dowborczykow-2-pokojowe-m5l1q7,https://s2.adresowa.pl/oi/47/67/35fbac_cc5f_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-dowborczykow.jpg
Łódź Polesie,ul. Komandorska,2,43,415000,9609,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-komandorska-2-pokojowe-a7y7a3,https://s2.adresowa.pl/oi/17/2a/35f8ce_bc23_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-komandorska.jpg
Łódź Bałuty,ul. Wincentego Pola,2,44,299000,6733,Bez pośredników,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wincentego-pola-2-pokojowe-k2f9u7,https://s2.adresowa.pl/oi/37/30/35d9c2_9e2d_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-wincentego-pola.jpg
Łódź Teofilów,al. Pasjonistów,2,38,245000,6447,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-teofilow-al-pasjonistow-2-pokojowe-y7x0a4,https://s2.adresowa.pl/oi/4a/12/35d7d2_61cf_cover-2-pokojowe-mieszkanie-lodz-teofilow-al-pasjonistow.jpg
Łódź Stare Polesie,,4,101,590000,5842,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-stare-polesie-4-pokojowe-101-m2-h1j5f1,https://s2.adresowa.pl/oi/65/33/35d6fe_64d3_cover-4-pokojowe-mieszkanie-lodz-stare-polesie.jpg
Łódź Polesie,,3,53,390000,7358,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-polesie-3-pokojowe-53-m2-a2j6c2,https://s2.adresowa.pl/oi/21/6b/35c456_fbc1_cover-3-pokojowe-mieszkanie-lodz-polesie.jpg
Łódź Bałuty,ul. Bolesława Limanowskiego,3,50,380000,7666,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego-3-pokojowe-p1q0z9,https://s2.adresowa.pl/oi/48/6b/35bc82_c5c3_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego.jpg
Łódź Śródmieście,ul. Jana Kilińskiego,2,34,369000,10853,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-jana-kilinskiego-2-pokojowe-c8s4w4,https://s2.adresowa.pl/oi/1d/64/35b8ca_9c10_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-jana-kilinskiego.jpg
Łódź Polesie,ul. Srebrzyńska,2,39,399000,10171,Bez pośredników,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-srebrzynska-2-pokojowe-k4w4o9,https://s2.adresowa.pl/oi/75/55/35ab86_6879_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-srebrzynska.jpg
Łódź Chojny,ul. Grażyny,2,52,550000,10577,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-grazyny-2-pokojowe-s3d0b6,https://s2.adresowa.pl/oi/49/36/35a558_8001_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-grazyny.jpg
Łódź Bałuty,ul. Lniana,2,38,270000,7105,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lniana-2-pokojowe-o1s6r5,https://s2.adresowa.pl/oi/6d/14/358fb2_4f89_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-lniana.jpg
Łódź Śródmieście,ul. prof. Bohdana Stefanowskiego,1,28,386000,13786,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-prof-bohdana-stefanowskiego-1-pokoj-y0n2e5,https://s2.adresowa.pl/oi/34/44/35756c_d297_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-prof-bohdana-stefanowskiego.jpg
Łódź Śródmieście,ul. Wólczańska,2,49,449000,9163,Bez pośredników,ponad miesiąc temu,3,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-wolczanska-2-pokojowe-u1y5n8,https://s2.adresowa.pl/oi/3b/72/3564e2_6bc7_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-wolczanska.jpg
Łódź Polesie,ul. św. Jerzego,4,105,610000,5810,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-sw-jerzego-4-pokojowe-f3p2m0,https://s2.adresowa.pl/oi/20/60/356140_917d_cover-4-pokojowe-mieszkanie-lodz-polesie-ul-sw-jerzego.jpg
Łódź Górna,ul. Pabianicka,2,50,450000,8970,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-pabianicka-2-pokojowe-u8v2s2,https://s2.adresowa.pl/oi/5d/2e/355cfc_5363_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-pabianicka.jpg
Łódź Widzew,ul. Juliana Tuwima,2,37,410000,11227,Bez pośredników,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-juliana-tuwima-2-pokojowe-w7m0m0,https://s2.adresowa.pl/oi/52/63/355ad4_6923_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-juliana-tuwima.jpg
Łódź Bałuty,ul. Krawiecka,2,48,372138,7800,Bez pośredników,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-krawiecka-2-pokojowe-y0v7l7,https://s2.adresowa.pl/oi/15/6a/354f34_9ee0_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-krawiecka.jpg
Łódź Śródmieście,ul. Zacisze,4,65,499000,7677,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-zacisze-4-pokojowe-v8k0j3,https://s2.adresowa.pl/oi/42/25/354f32_bc7b_cover-4-pokojowe-mieszkanie-lodz-srodmiescie-ul-zacisze.jpg
Łódź Bałuty,ul. Łagiewnicka,2,46,575000,12441,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lagiewnicka-2-pokojowe-l4w1v0,https://s2.adresowa.pl/oi/4a/72/354eba_ebb8_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-lagiewnicka.jpg
Łódź Śródmieście,ul. dr. Seweryna Sterlinga,5,91,550000,6044,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dr-seweryna-sterlinga-5-pokojowe-i9j9i1,https://s2.adresowa.pl/oi/32/5f/354bf4_9216_cover-5-pokojowe-mieszkanie-lodz-srodmiescie-ul-dr-seweryna-sterlinga.jpg
Łódź Śródmieście,ul. Częstochowska,2,58,590000,10172,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-czestochowska-2-pokojowe-g6v2f4,https://s2.adresowa.pl/oi/36/1d/3532fa_cc7f_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-czestochowska.jpg
Łódź Górna,ul. Jacka Malczewskiego,4,64,499000,7858,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-jacka-malczewskiego-4-pokojowe-o1m6n0,https://s2.adresowa.pl/oi/6c/1d/3530d4_af78_cover-4-pokojowe-mieszkanie-lodz-gorna-ul-jacka-malczewskiego.jpg
Łódź Polesie,ul. Radwańska,2,43,349000,8177,Bez pośredników,ponad miesiąc temu,3,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-radwanska-2-pokojowe-p3q5x2,https://s2.adresowa.pl/oi/41/61/352c5a_3eb6_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-radwanska.jpg
Łódź Polesie,ul. Wapienna,1,37,290000,7863,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-wapienna-1-pokoj-d5y1m0,https://s2.adresowa.pl/oi/24/22/3528e2_6298_cover-1-pokojowe-mieszkanie-lodz-polesie-ul-wapienna.jpg
Łódź Bałuty,ul. Emilii Plater,2,45,320000,7111,Bez pośredników,ponad miesiąc temu,5,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-emilii-plater-2-pokojowe-x1f2d3,https://s2.adresowa.pl/oi/7d/75/352666_fc9a_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-emilii-plater.jpg
Łódź Bałuty,ul. Inowrocławska,2,38,318000,8368,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-inowroclawska-2-pokojowe-b1l5x4,https://s2.adresowa.pl/oi/61/52/351f20_7f2c_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-inowroclawska.jpg
Łódź Śródmieście,ul. Stefana Jaracza,3,48,420000,8750,Bez pośredników,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-stefana-jaracza-3-pokojowe-t5v8x0,https://s2.adresowa.pl/oi/1d/22/3519c8_461f_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-stefana-jaracza.jpg
Łódź Bałuty,ul. Powstańców Wielkopolskich,3,63,553000,8778,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-powstancow-wielkopolskich-3-pokojowe-d8e0w3,https://s2.adresowa.pl/oi/18/55/35138c_517a_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-powstancow-wielkopolskich.jpg
Łódź Widzew,ul. Gołębia,2,37,340000,9189,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-golebia-2-pokojowe-p5l4g9,https://s2.adresowa.pl/oi/6b/42/350fe8_e3ba_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-golebia.jpg
Łódź Dąbrowa,ul. Alojzego Felińskiego,2,42,290000,6905,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-alojzego-felinskiego-2-pokojowe-c7x7y6,https://s2.adresowa.pl/oi/48/1c/350d00_84ea_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-alojzego-felinskiego.jpg
Łódź Dąbrowa,ul. Władysława Broniewskiego,2,40,330000,8352,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-wladyslawa-broniewskiego-2-pokojowe-o0h2x6,https://s2.adresowa.pl/oi/3a/40/34ca20_79f1_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-wladyslawa-broniewskiego.jpg
Łódź Polesie,ul. Prezydenta Gabriela Narutowicza,2,43,387000,9000,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-prezydenta-gabriela-narutowicza-2-pokojowe-s2u5d7,https://s2.adresowa.pl/oi/1a/4a/350000_c9a3_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-prezydenta-gabriela-narutowicza.jpg
